,date,rate,symbol,sentiment,count
254,38:33.5,9243.5,BTCUSDT,0.365216216,37
255,39:35.1,9249.08,BTCUSDT,0.36185122,41
256,40:37.0,9254.99,BTCUSDT,0.487596669,60
257,41:39.1,9254.5,BTCUSDT,0.453912245,49
258,42:40.5,9257,BTCUSDT,0.460735998,50
259,43:42.0,9249.73,BTCUSDT,0.545713042,46
260,44:43.5,9250,BTCUSDT,0.417782456,57
261,45:45.2,9243.61,BTCUSDT,0.513933337,63
262,46:46.8,9254.94,BTCUSDT,0.468904617,65
263,47:48.7,9248,BTCUSDT,0.488614754,61
264,48:50.1,9248.84,BTCUSDT,0.546419564,46
265,49:51.6,9252.79,BTCUSDT,0.508898147,54
266,50:53.1,9246.16,BTCUSDT,0.455996077,51
267,51:54.6,9250,BTCUSDT,0.383470002,50
268,52:56.1,9250.45,BTCUSDT,0.481785416,48
269,53:57.9,9256.09,BTCUSDT,0.356437705,61
270,54:59.4,9260,BTCUSDT,0.423837645,85
271,56:00.9,9255.98,BTCUSDT,0.582238183,55
272,57:02.6,9255,BTCUSDT,0.515090477,42
273,58:04.3,9254.24,BTCUSDT,0.368534782,46
274,59:06.0,9254.96,BTCUSDT,0.309231246,48
275,00:07.5,9265,BTCUSDT,0.421345453,88
276,01:09.0,9266.74,BTCUSDT,0.378194341,53
277,02:10.5,9277,BTCUSDT,0.456230511,59
278,03:12.2,9270.97,BTCUSDT,0.511808823,68
279,04:13.7,9269.79,BTCUSDT,0.497659324,59
280,05:15.3,9271.05,BTCUSDT,0.535301076,93
281,06:16.7,9275.79,BTCUSDT,0.420347058,68
282,07:19.0,9280,BTCUSDT,0.457484935,73
283,08:21.0,9282.43,BTCUSDT,0.349013462,52
284,09:22.7,9282.88,BTCUSDT,0.408804998,60
285,10:24.7,9281.5,BTCUSDT,0.55172,85
286,11:26.4,9282,BTCUSDT,0.540110769,65
287,12:27.9,9285,BTCUSDT,0.452859089,66
288,13:29.3,9290.49,BTCUSDT,0.422798148,54
289,14:30.9,9292.42,BTCUSDT,0.465412329,73
290,15:32.6,9250.86,BTCUSDT,0.447542856,70
291,16:34.1,9246.01,BTCUSDT,0.463914035,57
292,17:35.5,9250.2,BTCUSDT,0.4455,59
293,18:37.0,9258.24,BTCUSDT,0.544404546,44
294,19:38.5,9252.51,BTCUSDT,0.495495243,63
295,20:40.0,9252.01,BTCUSDT,0.39621757,74
296,21:41.8,9244.99,BTCUSDT,0.498906779,59
297,22:43.3,9250.99,BTCUSDT,0.523943938,66
298,23:45.0,9261,BTCUSDT,0.434805771,52
299,24:46.8,9260,BTCUSDT,0.415506578,76
300,25:48.3,9265.3,BTCUSDT,0.510854998,40
301,26:49.8,9265,BTCUSDT,0.472818423,76
302,27:51.2,9256.84,BTCUSDT,0.456078206,78
303,28:52.7,9262.61,BTCUSDT,0.494692069,63
304,29:54.2,9261.32,BTCUSDT,0.424427587,58
305,30:56.0,9255,BTCUSDT,0.413283053,59
